rank,transformed_feature,mean_abs_shap,mean_signed_shap,transformer,source_feature
27,specialty__medical_specialty_Cardiology,0.005331482512729497,-0.0008385599612665828,specialty,medical_specialty
28,categorical__discharge_disposition_id_25,0.005124804779875265,9.734117985849812e-05,categorical,discharge_disposition_id
29,diagnosis__diag_3_Neoplasms,0.005118670568003281,-0.0003067323051066235,diagnosis,diag_3
30,categorical__discharge_disposition_id_23,0.005105071939485752,-0.00017563099191181942,categorical,discharge_disposition_id
31,diagnosis__diag_2_Other,0.00483736059478723,-0.00042225963911001493,diagnosis,diag_2
32,diagnosis__diag_1_Respiratory,0.004541577161396256,-0.0005031219432008285,diagnosis,diag_1
33,categorical__age_[80-90),0.004475601538429811,0.0005716397270273263,categorical,age
34,diagnosis__diag_1_Genitourinary,0.0044272525943585645,0.0001334165035103405,diagnosis,diag_1
35,categorical__admission_source_id_4,0.004101329568023524,3.240529230128032e-05,categorical,admission_source_id
36,diagnosis__diag_2_Diabetes,0.00395143025349097,9.743063398371104e-05,diagnosis,diag_2
37,categorical__metformin_No,0.003903290325945762,-0.0002840360924913043,categorical,metformin
38,categorical__metformin_Steady,0.003888373226924553,-5.832784204593869e-05,categorical,metformin
39,specialty__medical_specialty_Emergency/Trauma,0.0038273555339045045,-0.00039442030268610213,specialty,medical_specialty
40,lab__A1Cresult_NotMeasured,0.003728894406917539,-0.00029005305241395677,lab,A1Cresult
41,diagnosis__diag_3_Respiratory,0.0036160451339254085,5.579967759847869e-05,diagnosis,diag_3
42,categorical__payer_code_MC,0.0035222953914390794,0.0005334950448412856,categorical,payer_code
43,categorical__gender_Female,0.0032672196567999586,-1.695977371774231e-05,categorical,gender
44,categorical__race_Caucasian,0.0031594588576369423,-0.0002834585758523055,categorical,race
45,categorical__admission_type_id_6,0.0031237162483493436,0.00029556245529908286,categorical,admission_type_id
46,diagnosis__diag_2_Respiratory,0.0027959445657188553,6.501037887435415e-05,diagnosis,diag_2
47,lab__A1Cresult_>8,0.0026213450080083906,-6.560084814133122e-05,lab,A1Cresult
48,categorical__age_[70-80),0.0025966139594372733,-2.656118605259286e-05,categorical,age
49,categorical__discharge_disposition_id_18,0.0025760789226694494,0.002419760928116514,categorical,discharge_disposition_id
50,diagnosis__diag_1_Other,0.002486270272878521,-0.0005439434064252545,diagnosis,diag_1
51,categorical__payer_code_CP,0.0024631941589472895,-0.00021929702873743425,categorical,payer_code
